Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee
2001/02,24/10/01,West Ham,Chelsea,2,1,H,2,1,H,10,15,4,5,11,6,1,8,0,0,0,0,D. J. Gallagher
2001/02,27/10/01,Aston Villa,Bolton,3,2,H,2,1,H,10,9,7,5,13,16,6,2,2,3,0,0,E. K. Wolstenholme
2001/02,27/10/01,Charlton,Liverpool,0,2,A,0,2,A,14,5,4,4,12,13,13,1,0,1,0,1,P. Jones
2001/02,27/10/01,Everton,Newcastle,1,3,A,0,1,A,18,6,8,4,8,15,13,3,1,2,0,0,J. T. Winter
2001/02,27/10/01,Fulham,Southampton,2,1,H,2,1,H,19,11,5,5,8,14,6,4,0,2,0,0,A. P. D'Urso
2001/02,27/10/01,Man United,Leeds,1,1,D,0,0,D,18,12,6,6,16,15,6,2,3,3,0,0,D. J. Gallagher
2001/02,27/10/01,Sunderland,Arsenal,1,1,D,0,1,A,10,14,6,5,12,22,7,6,3,3,0,0,M. A. Riley
2001/02,27/10/01,Tottenham,Middlesbrough,2,1,H,0,1,A,10,8,4,3,11,12,8,5,0,0,0,0,M. L Dean
2001/02,28/10/01,Derby,Chelsea,1,1,D,1,0,H,13,19,8,8,14,11,4,10,1,4,0,0,S. G. Bennett
2001/02,28/10/01,Ipswich,West Ham,2,3,A,0,1,A,12,12,8,4,16,11,8,9,2,2,0,0,S. W. Dunn
2001/02,29/10/01,Blackburn,Leicester,0,0,D,0,0,D,12,10,3,5,11,7,7,1,6,2,0,0,R. Styles
2001/02,03/11/01,Bolton,Everton,2,2,D,1,1,D,16,11,8,6,13,13,9,3,4,2,1,0,A. P. D'Urso
2001/02,03/11/01,Leicester,Sunderland,1,0,H,0,0,D,9,11,5,4,13,20,7,7,1,3,0,0,S. W. Dunn
2001/02,03/11/01,Middlesbrough,Derby,5,1,H,0,0,D,11,6,7,4,10,12,6,4,0,1,0,0,N. S. Barry
2001/02,03/11/01,Newcastle,Aston Villa,3,0,H,1,0,H,17,10,7,2,15,7,13,8,0,3,0,0,C. R. Wilkes
2001/02,03/11/01,Southampton,Blackburn,1,2,A,1,1,D,16,6,6,5,19,18,10,4,1,1,0,0,A. G. Wiley
2001/02,03/11/01,West Ham,Fulham,0,2,A,0,1,A,12,14,6,6,13,18,10,8,1,3,0,0,G. P. Barber
