Date,home_team,away_team,result,predicted,confidence,correct
2026-01-01,Sunderland,Man City,Draw,AwayWin,0.742,False
2023-02-25,Bournemouth,Man City,AwayWin,AwayWin,0.741,True
2023-09-24,Liverpool,West Ham,HomeWin,HomeWin,0.74,True
2024-02-10,Luton,Sheffield United,AwayWin,HomeWin,0.737,False
2024-04-07,Tottenham,Nott'm Forest,HomeWin,HomeWin,0.737,True
2025-10-04,Arsenal,West Ham,HomeWin,HomeWin,0.736,True
2023-12-05,Luton,Arsenal,AwayWin,AwayWin,0.736,True
2023-01-03,Man United,Bournemouth,HomeWin,HomeWin,0.735,True
2023-12-02,Arsenal,Wolves,HomeWin,HomeWin,0.735,True
2024-08-24,Aston Villa,Arsenal,AwayWin,AwayWin,0.735,True
2023-08-14,Man United,Wolves,HomeWin,HomeWin,0.735,True
2023-12-22,Aston Villa,Sheffield United,Draw,HomeWin,0.735,False
2024-10-20,Wolves,Man City,AwayWin,AwayWin,0.734,True
2023-09-17,Bournemouth,Chelsea,Draw,AwayWin,0.734,False
2022-12-27,Chelsea,Bournemouth,HomeWin,HomeWin,0.733,True
2022-10-29,Leicester,Man City,AwayWin,AwayWin,0.733,True
2026-01-04,Man City,Chelsea,Draw,HomeWin,0.733,False
2024-12-04,Aston Villa,Brentford,HomeWin,HomeWin,0.733,True
2023-11-11,Man United,Luton,HomeWin,HomeWin,0.732,True
2022-10-23,Southampton,Arsenal,Draw,AwayWin,0.732,False
2022-10-29,Liverpool,Leeds,AwayWin,HomeWin,0.732,False
2025-09-21,Sunderland,Aston Villa,Draw,AwayWin,0.731,False
2022-09-03,Tottenham,Fulham,HomeWin,HomeWin,0.731,True
2025-08-23,Arsenal,Leeds,HomeWin,HomeWin,0.731,True
2024-04-06,Everton,Burnley,HomeWin,HomeWin,0.731,True
2024-11-23,Leicester,Chelsea,AwayWin,AwayWin,0.731,True
2024-04-25,Brighton,Man City,AwayWin,AwayWin,0.731,True
